		Total RNA				Ribosome-footprinted RNA			
	acpP	7993.26	7697.55	-0.0543852	0.8865	25765.1	24893.6	-0.0496468	0.91135
	acpS	59.2784	58.2743	-0.0246465	0.9725	27.1872	24.1255	-0.17237	0.9271
	acpT	29.368	28.9693	-0.0197166	0.95775	41.4611	41.8935	0.0149684	0.97325
	acrA	209.706	198.266	-0.0809328	0.8169	371.501	344.259	-0.109874	0.7874
	acrB	171.409	164.266	-0.0614133	0.8754	88.3754	83.42	-0.0832515	0.83555
	acrD	4.47853	3.98187	-0.169577	0.63125	1.26431	1.11386	-0.182789	0.712
	acrE	2.22718	2.12668	-0.0666185	0.87245	0.200649	0.0714348	-1.48998	1
	acrF	3.59922	2.87573	-0.323759	0.38015	0.456674	0.307599	-0.570116	0.383
	acrR	30.0817	28.314	-0.0873751	0.81145	67.3007	55.7932	-0.270532	0.50505
	acs	5.24076	4.76787	-0.136431	0.7192	5.29509	5.72047	0.111479	0.8102
	actP	4.61027	3.17805	-0.536709	0.17515	0.746393	0.880836	0.238938	0.7189
	ada	9.70863	9.43028	-0.0419674	0.9166	1.74299	1.10737	-0.654434	0.3513
	add	47.8899	61.01	0.349324	0.32755	178.495	214.878	0.267634	0.5198
	ade	23.9787	24.0045	0.00155457	0.99705	39.7739	39.9162	0.00515263	0.9896
	adhE	74.558	87.6431	0.233279	0.52525	179.508	202.594	0.174543	0.66705
	adhP	11.0574	9.00414	-0.296354	0.42595	16.6896	18.0747	0.115021	0.7863
	adiA	4.27145	3.26503	-0.38763	0.29895	0.666276	0.519049	-0.360248	0.5607
	adiC	2.54151	1.70863	-0.572843	0.1651	0.427543	0.330557	-0.37117	0.66785
	adiY	1.99985	1.87362	-0.0940654	0.84625	4.51155	4.86244	0.108056	0.84105
	adk	286.295	246.39	-0.21656	0.53235	1048.37	889.779	-0.236626	0.5549
	adrA	4.32118	3.62919	-0.251775	0.51885	0.583145	0.91264	0.646192	0.39805
	adrB	2.06319	2.00442	-0.0416888	0.9167	0.229493	0.239905	0.0640114	0.94205
	aegA	3.6006	3.88847	0.110962	0.76445	0.993782	2.08889	1.07174	0.0553
	aer	7.25657	6.25199	-0.214973	0.5589	0.645363	0.658682	0.0294717	0.96575
	aes	10.1773	8.54503	-0.252193	0.71385	12.1806	14.3692	0.238403	0.71515
	afuB	6.35536	6.1543	-0.0463782	0.92125	0.149855	0.114953	-0.382529	1
	afuC	4.49853	3.09717	-0.538501	0.18295	1.61914	1.32546	-0.288731	0.642
	agaA	11.3789	10.9448	-0.0561069	0.8827	0.30505	0.338539	0.15028	0.92405
	agaB	1.29757	0.552937	-1.23063	0.0987	2.32693	3.08594	0.407285	0.5882
	agaC	1.39679	0.879334	-0.667633	0.34265	0.38706	0.504975	0.383657	0.7289
	agaD	2.04706	1.59062	-0.36396	0.5045	0.431959	0.220879	-0.967639	0.5803
	agaI	2.06612	1.32087	-0.645436	0.193	0.696454	0.663427	-0.0700906	0.9369
	agaR	63.7449	61.2332	-0.0579959	0.8641	38.4455	42.7973	0.154706	0.7006
	agaS	3.41805	2.70235	-0.338957	0.4013	2.53897	2.42889	-0.0639496	0.90865
	agaV	6.0486	5.5086	-0.134915	0.76495	16.5622	23.8299	0.524877	0.26165
	agp	34.5995	33.47	-0.0478818	0.8882	100.531	92.2027	-0.124759	0.74895
	ahpC	970.793	1002.86	0.0468813	0.9006	6226.54	6700.63	0.105868	0.8148
	ahpF	190.14	206.762	0.120908	0.7459	398.856	396.745	-0.0076557	0.9866
	aidB	5.03737	5.04712	0.00279117	0.9944	3.47432	4.39054	0.337666	0.46795
	ais	0.840238	0.67954	-0.306239	0.6335	0.738068	0.625871	-0.23789	0.8129
	alaS	238.335	241.877	0.0212776	0.95685	194.751	202.326	0.0550462	0.8907
	aldA	56.6427	78.0522	0.462549	0.19715	115.162	152.832	0.408275	0.31985
	aldB	3.86494	3.64807	-0.0833138	0.8261	1.70939	1.70101	-0.00708652	0.98905
	alkA	4.18343	3.79735	-0.139694	0.72525	3.14598	2.73219	-0.203454	0.7025
	alkB	4.89955	4.32637	-0.179491	0.83145	1.90491	0.918478	-1.05241	0.3196
	allA	8.59083	8.71579	0.020834	0.958	7.68202	9.94069	0.371861	0.48295
	allB	1.77441	1.28983	-0.460152	0.29255	2.19297	2.65603	0.276387	0.58435
	allC	3.27741	2.69277	-0.283463	0.4691	1.42437	1.29629	-0.135942	0.82095
	allD	1.635	1.1065	-0.563288	0.22065	0.959182	1.20344	0.327286	0.6224
	allR	42.9538	57.1958	0.413124	0.2434	44.5894	46.1938	0.0509962	0.89925
	allS	1.34733	1.02673	-0.392038	0.4183	1.24571	1.05641	-0.237799	0.73655
	alr	49.0657	47.0147	-0.0616024	0.85955	52.4384	38.8241	-0.433671	0.29435
	alsA	0.356263	0.446375	0.325316	0.7496	0.124548	0.235941	0.921724	0.5455
	alsA	1.02875	0.853435	-0.269538	1	0.0306923	0.103777	1.75754	1
	alsB	3.60612	3.68531	0.0313406	0.93645	11.899	15.8111	0.410102	0.3555
	alsC	1.83609	1.23188	-0.575773	1	0.669252	1.20031	0.842784	1
	alsE	3.29338	3.42108	0.0548819	1	1.50142	2.14765	0.516434	1
	alsK	6.05715	5.12875	-0.240031	1	1.65534	1.31928	-0.327385	1
	alx	3.72425	2.43033	-0.615796	0.14495	1.83507	1.59574	-0.201602	0.74915
	amiA	35.9223	40.4645	0.171777	0.63055	46.5963	52.1492	0.162432	0.68585
	amiB	73.3833	72.7478	-0.012547	0.97145	16.3672	16.0985	-0.0238792	0.9536
	amiC	43.916	43.3709	-0.0180181	0.95625	30.4483	34.5205	0.181089	0.658
	amiD	33.0099	33.0074	-0.000106232	0.9995	12.2045	11.1668	-0.128199	0.9288
	amn	11.8	12.8623	0.124369	0.73	36.521	42.0285	0.202642	0.6143
	ampC	7.0279	7.32971	0.0606625	0.8698	6.77402	5.47921	-0.306045	0.5092
	ampD	20.6728	21.0996	0.02948	0.96075	64.2418	56.6513	-0.181402	0.73155
	ampE	19.7601	18.5939	-0.0877663	0.8466	21.7269	20.9606	-0.0518	0.9373
	ampG	15.5829	17.1024	0.134232	0.70765	5.73621	6.08284	0.0846462	0.85525
	ampH	14.7928	13.9231	-0.0874124	0.81325	13.8663	12.9588	-0.0976547	0.82025
	amtB	0.568366	0.349865	-0.700021	0.65545	0.303924	0.236691	-0.360705	0.8631
	amtB	7.75249	6.4071	-0.274987	1	0.450241	0.435295	-0.048706	1
	amyA	8.76861	8.74247	-0.00430656	0.991	3.59201	3.76709	0.068661	0.89065
	anmK	14.5571	14.9723	0.0405724	0.90955	18.7181	20.4349	0.1266	0.765
	ansA	25.9409	22.1638	-0.227028	0.5206	71.8064	60.9451	-0.236603	0.5449
	ansB	67.8507	54.6488	-0.312175	0.4074	114.316	91.8312	-0.315965	0.4475
	ansP	7.30349	7.97898	0.127619	0.72555	2.33141	3.68079	0.65881	0.18255
	apaG	172.756	170.442	-0.0194526	0.9566	42.6096	45.3245	0.0891126	0.8663
	apaH	32.7549	27.4378	-0.255549	0.4818	31.2162	29.9196	-0.0612033	0.8856
	apbE	8.8328	7.84223	-0.171606	0.6452	10.1445	7.00265	-0.53473	0.246
	aphA	73.7791	77.3589	0.0683546	0.8446	307.256	282.718	-0.120077	0.76015
	appA	3.95273	3.62821	-0.123589	0.7463	1.11789	2.07859	0.894826	0.1256
	appB	3.27036	3.36352	0.0405226	0.9199	0.490795	0.92564	0.91533	0.24405
	appC	2.62048	2.2804	-0.200546	0.61025	0.537098	0.764788	0.509875	0.45895
	appY	1.37363	1.3203	-0.0571268	0.9152	3.23515	3.18611	-0.0220364	0.9678
	apt	37.0663	30.088	-0.300921	0.40975	129.768	89.3617	-0.538205	0.18845
	aqpZ	9.54237	9.55796	0.00235544	0.99405	3.88604	2.86583	-0.439347	0.4404
	araA	1651.47	1636.17	-0.0134216	0.97795	3772.81	3756.71	-0.00617077	0.99165
	araB	956.683	953.843	-0.00428794	0.99205	190.166	199.13	0.0664454	0.8695
	araC	650.184	597.869	-0.121018	0.75375	263.871	261.24	-0.0144551	0.97165
	araD	648.964	637.94	-0.0247193	0.94605	1673.39	1512.31	-0.14602	0.72985
	araE	1507.25	1545.58	0.0362257	0.9373	2306.78	1967.88	-0.229237	0.6283
	araF	898.45	895.727	-0.00437894	0.9925	3652.77	3653.83	0.000416323	0.9993
	araG	367.63	383.384	0.0605326	0.87805	270.147	281.325	0.0584935	0.88595
	araH	233.082	243.538	0.0633117	0.8649	306.435	291.225	-0.0734515	0.8553
	araJ	150.705	158.823	0.0756889	0.83195	89.1678	68.5772	-0.378793	0.33455
	arcA	420.069	421.843	0.00608181	0.9852	994.226	899.735	-0.144074	0.72845
	arcB	40.4421	38.5439	-0.0693563	0.84355	21.6082	20.7668	-0.057299	0.8847
	argA	5.98117	5.64714	-0.0829068	0.8227	0.737159	0.573921	-0.361124	0.6158
	argB	12.5975	13.9168	0.143691	0.6976	3.45821	5.26842	0.607346	0.24895
	argC	4.86026	4.56883	-0.0892084	0.8203	0.492824	0.915225	0.893055	0.26665
	argD	7.05399	6.34285	-0.153309	0.68535	3.30997	2.87743	-0.202035	0.69495
	argE	13.6317	12.6414	-0.108807	0.7587	16.1787	17.2481	0.092344	0.8235
	argF	5.76537	4.41241	-0.385846	0.31865	7.90827	7.38944	-0.0978964	0.8296
	argG	13.5474	12.7837	-0.0837088	0.8163	13.323	10.4167	-0.355026	0.4078
	argH	23.6582	30.0721	0.346086	0.3204	8.87181	9.52032	0.101783	0.81275
	argI	1.8822	1.2678	-0.570088	0.21995	1.05064	0.803741	-0.38647	0.60285
	argK	3.22374	2.37091	-0.443295	0.56815	0.111604	0.121122	0.118074	1
	argO	10.5417	11.4235	0.115902	0.75605	19.6878	16.5568	-0.249878	0.5881
	argP	15.2368	14.5889	-0.0626868	0.86245	13.9639	16.8862	0.274138	0.5319
	argR	168.284	161.002	-0.0638201	0.8485	367.512	262.381	-0.486132	0.21895
	argS	136.925	128.601	-0.090489	0.80015	145.763	131.209	-0.151761	0.70555
	argT	7.3718	8.51778	0.208461	0.5949	18.595	19.8533	0.094464	0.83855
	ariR	4.30492	4.73775	0.138215	0.8282	31.2353	38.8555	0.31494	0.5787
	arnA	9.53309	8.16691	-0.223154	0.68425	4.63841	4.98681	0.104487	0.922
	arnB	2.84044	2.01745	-0.49358	0.23645	1.3348	1.59634	0.258145	0.66585
	arnC	7.00096	6.7639	-0.0496976	0.95985	2.57339	2.34978	-0.131145	0.9555
	arnD	6.28895	6.06794	-0.0516137	0.96295	2.84337	3.00186	0.0782533	0.9726
	arnE	7.49147	5.97856	-0.325451	0.90275	3.83445	5.89041	0.619349	0.87085
	arnF	12.6829	10.7538	-0.238029	0.88465	3.85119	4.27613	0.151003	0.9558
	arnT	2.3435	1.81728	-0.366881	0.7822	1.14748	1.18449	0.0458003	0.98675
	aroA	17.8455	20.4445	0.196151	0.57535	17.5577	17.527	-0.00252892	0.9954
	aroB	135.479	124.917	-0.117098	0.7389	59.23	48.712	-0.282051	0.4784
	aroC	76.8195	71.2772	-0.108031	0.75795	27.7687	20.0667	-0.468658	0.25585
	aroD	6.5567	6.76389	0.0448819	0.90765	20.2226	20.559	0.0238004	0.95915
	aroE	29.5579	27.506	-0.103798	0.84375	23.7188	18.5905	-0.351462	0.6732
	aroF	37.7968	37.1353	-0.0254732	0.9426	13.5414	13.8463	0.0321302	0.9441
	aroG	28.0919	30.1781	0.103351	0.7643	65.7629	68.1516	0.0514716	0.8985
	aroH	10.3473	9.48423	-0.125648	0.7284	19.2608	16.8607	-0.192003	0.6513
	aroK	230.497	193.467	-0.252666	0.4733	389.253	339.931	-0.195468	0.63315
	aroL	29.6	28.0551	-0.0773311	0.83545	14.8983	19.6029	0.395913	0.4089
	aroM	8.36435	9.87864	0.24006	0.5266	11.2074	14.5431	0.375888	0.41315
	aroP	14.1757	14.148	-0.00282565	0.9937	2.41299	2.02793	-0.25082	0.62915
	arpA	0.686667	0.539758	-0.3473	0.91565	0.483839	0.342849	-0.496952	0.64345
	arpB	0.408012	0.131239	-1.63642	1	0.056004	0.0767146	0.453972	1
	arpB	8.66E-06	1.23E-01	13.7882	1	3.85E-06	0.00000529173	0.459904	1
	arrD	5.22068	5.46815	0.0668152	0.9631	0.442259	0.617626	0.481844	0.87445
	arrQ	0.959428	0.457956	-1.06696	0.1924	0.0584295	0.242779	2.05488	1
	arsB	4.92795	3.42017	-0.526921	0.1771	3.70856	2.70872	-0.45325	0.3608
	arsC	5.73418	3.618	-0.664394	0.15785	16.5967	15.818	-0.0693292	0.89095
	arsR	8.65767	7.65771	-0.177066	0.69505	13.874	9.61843	-0.528508	0.3531
	artI	36.3449	37.0587	0.0280603	0.93695	105.244	89.1324	-0.239711	0.5489
	artJ	1.61353	1.42326	-0.181022	0.84255	2.61454	3.65544	0.483485	0.4244
	artM	28.7407	30.0226	0.0629533	0.89935	8.71602	7.1099	-0.293839	0.69205
	artP	22.9057	23.8736	0.0597116	0.86445	23.5224	20.1326	-0.224503	0.6112
	artQ	25.4684	25.9463	0.0268183	0.9581	9.64362	9.88353	0.0354517	0.95515
	ascB	6.32748	6.29759	-0.00683021	0.98545	2.38793	2.42254	0.0207599	0.96675
	ascF	6.09379	5.19734	-0.229567	0.538	0.522057	0.763353	0.548142	0.44215
	ascG	22.348	21.5601	-0.0517804	0.8828	23.3818	25.059	0.0999446	0.80365
	asd	82.6354	88.1082	0.0925161	0.7881	80.8566	65.6774	-0.299968	0.4483
	aslA	4.24697	3.19898	-0.408821	0.2822	0.707419	0.343773	-1.04111	0.17965
	aslB	8.11981	6.95598	-0.223192	0.54895	4.20631	4.09512	-0.0386496	0.93665
	asmA	37.7621	35.4707	-0.0903113	0.797	12.5805	12.9068	0.0369364	0.92995
	asnA	81.615	71.1516	-0.197938	0.5627	86.698	63.0685	-0.459079	0.24645
	asnB	28.992	33.3176	0.200628	0.5631	19.6097	17.7239	-0.145875	0.722
	asnC	6.14781	5.49561	-0.161794	0.7113	31.2818	34.9152	0.15853	0.7313
	asnS	403.804	433.315	0.101762	0.79205	383.399	380.072	-0.0125761	0.97495
	aspA	1424.74	1403.06	-0.0221317	0.963	2171.91	2076.56	-0.0647635	0.8917
	aspC	87.2503	79.3182	-0.137508	0.69525	283.623	240.343	-0.238881	0.55195
	aspS	207.084	178.03	-0.218092	0.5637	266.008	217.632	-0.28958	0.4808
	asr	5.76651	4.13082	-0.481269	0.35225	7.97217	8.81733	0.145368	0.8225
	astA	2.19057	1.66899	-0.392326	0.71505	0.359973	0.621676	0.788272	0.64645
	astB	2.78772	2.42576	-0.200646	0.7914	0.236031	0.157673	-0.582045	0.8357
	astC	2.6193	2.45492	-0.0935054	0.91105	1.72416	1.61648	-0.0930442	0.89965
	astD	2.53369	2.68693	0.0847141	0.9056	0.523946	0.619727	0.242214	0.838
	astE	2.04574	1.81944	-0.169127	0.8742	0.330775	0.226602	-0.545691	0.8176
	atoA	1.34461	0.583588	-1.20417	0.30865	0.154004	0.096713	-0.671189	1
	atoB	2.68419	2.53933	-0.0800353	0.84405	0.365583	1.02867	1.49251	0.07295
	atoC	3.33406	3.22422	-0.0483292	0.93725	7.35752	5.98761	-0.297241	0.6048
	atoD	2.64628	1.71666	-0.624363	0.39105	0.0631545	0.0538281	-0.230526	1
	atoE	1.69408	1.22098	-0.472461	0.39	0.0346583	0.163275	2.23603	1
	atoS	3.71255	3.66431	-0.0188689	0.96965	2.89894	3.17347	0.130533	0.85815
	atpA	1098.15	1043.09	-0.0742116	0.8749	1173.69	1103.27	-0.089264	0.84555
	atpB	509.294	470.764	-0.113495	0.7642	687.832	583.418	-0.237526	0.55475
	atpC	2148.45	2054.33	-0.064624	0.8626	1084.02	1099.48	0.0204263	0.9599
	atpD	1183.36	1107.39	-0.0957182	0.8374	1291.08	1258.95	-0.0363611	0.93505
	atpE	4844.26	4205.09	-0.204142	0.5908	13050.1	12775.4	-0.0306962	0.93905
	atpF	1453.61	1272.9	-0.191515	0.61675	581.846	474.78	-0.293379	0.4723
	atpG	960.996	888.854	-0.112584	0.7722	362.207	320.256	-0.177587	0.649
	atpH	1082.97	1006.22	-0.106039	0.7774	459.186	393.922	-0.221168	0.5644
	atpI	1508.78	1402.44	-0.105435	0.7589	61.3514	54.0145	-0.183751	0.7261
	avtA	17.4251	17.8099	0.0315059	0.92875	17.2064	16.3482	-0.073817	0.8586
	azoR	8.08828	8.52828	0.0764216	0.842	32.6604	41.9607	0.361498	0.3953
	bacA	44.7908	45.1264	0.0107685	0.97515	48.2911	45.3835	-0.0895904	0.83115
	baeR	14.0133	14.104	0.00930751	0.98425	17.3146	12.7359	-0.443095	0.3907
	baeS	3.19288	3.41995	0.0991179	0.8946	1.19004	1.14366	-0.0573524	0.96575
	bamA	276.911	267.388	-0.0504869	0.8978	261.141	238.361	-0.131682	0.7467
	bamB	230.223	226.399	-0.0241668	0.946	193.461	175.479	-0.140738	0.726
	bamC	474.244	484.191	0.0299475	0.9375	253.013	238.248	-0.0867501	0.8308
	bamD	154.336	148.203	-0.0585045	0.86625	507.091	455.653	-0.154309	0.7018
	barA	11.0514	9.38549	-0.235721	0.5003	4.49256	3.96507	-0.180191	0.67965
	basR	16.3604	18.0251	0.139802	0.73585	15.4498	16.6692	0.109591	0.8111
	basS	12.2556	11.171	-0.133686	0.71435	3.40996	3.38163	-0.0120324	0.9812
	bax	69.4502	69.2633	-0.00388759	0.99105	73.6484	81.8123	0.151664	0.71245
	bcp	56.38	57.3303	0.0241143	0.9572	209.228	208.209	-0.00704597	0.9877
	bcr	15.0479	13.1913	-0.189972	0.59745	8.77042	7.67559	-0.192368	0.66855
	bcsA	3.79337	2.91644	-0.379274	0.4037	0.247253	0.134891	-0.874197	0.42285
	bcsB	4.48181	3.34278	-0.423035	0.26455	1.2538	1.46734	0.226898	0.6538
	bcsC	7.73471	6.74651	-0.197207	0.597	1.35174	1.08141	-0.321902	0.5489
	bcsE	12.072	11.6546	-0.0507547	0.91445	10.6255	11.6696	0.135229	0.79175
	bcsF	52.2543	42.3818	-0.302103	0.86815	59.6165	34.168	-0.803066	0.70325
	bcsG	8.35141	6.76856	-0.30317	0.5961	4.66464	4.49897	-0.0521682	0.94845
	bcsZ	4.12515	3.25887	-0.340074	0.75025	0.926842	1.0739	0.212461	0.8652
	bdm	5.9619	3.92073	-0.60465	0.41845	15.6182	19.8352	0.344835	0.6437
	betA	11.0804	11.4438	0.0465525	0.90225	11.9399	13.9878	0.228385	0.61405
	betB	23.5712	25.1879	0.0957029	0.79855	19.0063	25.1139	0.402012	0.37065
	betI	37.1135	40.379	0.121661	0.75405	4.58466	5.84274	0.349831	0.5414
	betT	9.60908	10.5293	0.13194	0.71995	3.55424	4.04546	0.186763	0.70555
	bfd	15.6415	17.2109	0.137943	0.8062	93.699	134.688	0.523512	0.33665
	bfr	9.01853	21.6262	1.26182	2.35E-03	21.5575	138.061	2.67905	0.00005
	bglA	35.6605	34.7187	-0.0386147	0.9074	97.5071	92.6233	-0.0741315	0.85025
	bglB	1.73514	0.918054	-0.918401	0.04525	0.719949	0.976215	0.439304	0.49665
	bglF	13.9153	10.4645	-0.411169	0.24915	1.84706	1.59627	-0.210527	0.6874
	bglG	1.38154	1.02316	-0.433243	0.3879	0.839093	0.278474	-1.59129	0.1208
	bglH	1.3674	0.754067	-0.858674	0.05995	0.38954	0.432351	0.150431	0.8505
	bglJ	2.41307	1.86072	-0.375011	0.48135	0.425685	0.898572	1.07785	0.33705
	bglX	33.6621	31.4513	-0.0980078	0.7747	44.9816	39.3799	-0.191875	0.62955
	bhsA	34.5987	30.1745	-0.197388	0.6943	97.1873	76.395	-0.34729	0.46255
	bioA	5.27732	4.55175	-0.213383	0.5757	3.1879	2.72352	-0.227131	0.66085
	bioB	3.07853	3.38605	0.137363	0.8518	1.32693	2.4108	0.861421	0.415
	bioC	4.1908	5.35309	0.353146	0.6332	0.409628	0.414267	0.0162459	0.97285
	bioD	2.7387	3.05972	0.159909	0.87745	7.0275	12.5044	0.831354	0.14835
	bioF	4.02287	4.13131	0.038377	0.95265	0.295574	0.514274	0.799016	0.7176
	bioH	20.3337	17.5738	-0.210449	0.75775	32.8691	28.8936	-0.185983	0.7065
	birA	46.7837	42.0323	-0.154506	1	0	0.0129536	inf	1
	bisC	22.6397	22.6819	0.00268145	0.9949	5.63114	5.50677	-0.0322207	0.959
	blc	11.1346	9.15171	-0.282934	0.6837	9.95595	13.2147	0.408511	0.64565
	bolA	157.736	160.041	0.0209301	0.95225	363.349	337.912	-0.104705	0.78945
	borD	664.919	742.009	0.158258	0.6648	5071.37	5185.21	0.0320267	0.94215
	brnQ	60.7547	68.7391	0.178135	0.6049	44.2856	32.5949	-0.442193	0.2722
	bssR	12.9011	9.74478	-0.40479	0.37185	7.43482	4.04231	-0.879118	0.2315
	bssS	529.827	496.733	-0.0930521	0.78595	212.496	201.781	-0.0746462	0.8641
	btuB	45.7021	41.8705	-0.126325	0.7131	121.736	105.904	-0.201004	0.6142
	btuC	21.4874	20.8566	-0.0429879	0.9034	7.96644	6.78347	-0.231911	0.6296
	btuD	18.9669	16.727	-0.181304	0.71065	8.20882	6.99944	-0.229934	0.8313
	btuE	23.3783	23.1278	-0.0155448	0.9768	59.2832	52.0166	-0.188651	0.67475
	btuF	23.932	19.6711	-0.28286	0.798	16.5696	15.5693	-0.0898342	0.9781
	btuR	25.0401	26.833	0.0997701	0.856	22.1852	17.1827	-0.368638	0.7095
	cadA	5.2574	4.34007	-0.276631	0.45785	12.8978	11.8797	-0.118628	0.77325
	cadB	5.58928	7.49955	0.424141	0.274	15.4763	19.7459	0.351493	0.41735
	cadC	2.06633	1.73083	-0.255607	0.5377	4.48058	3.77378	-0.247676	0.597
	caiA	15.7778	13.7187	-0.201751	0.58	3.23722	3.43868	0.087096	0.8646
	caiB	4.84782	3.82117	-0.343324	0.37925	2.03753	1.53347	-0.410028	0.48675
	caiC	3.27938	2.74292	-0.25771	0.50725	0.758947	0.863072	0.185482	0.7764
	caiD	1.9681	1.49308	-0.398514	0.38285	3.69404	3.84965	0.0595271	0.91075
	caiE	5.52732	5.34297	-0.048937	0.91065	0.274354	0.374559	0.449157	0.751
	caiF	18.0021	23.5332	0.386531	0.3202	34.5848	60.8266	0.814564	0.0847
	caiT	2.19498	1.13852	-0.947051	0.02685	0.192367	0.141878	-0.439212	1
	can	161.723	175.626	0.118976	0.72935	210.22	236.318	0.168833	0.6684
	carA	69.7294	82.5895	0.244191	1	42.2776	33.4626	-0.337341	1
	carB	80.4176	102.79	0.354112	1	78.7635	84.4436	0.100461	1
	carB	44.3264	49.1492	0.149002	0.83175	18.8227	25.1601	0.418662	0.7465
	casA	0.986537	0.702313	-0.49026	0.35425	0.485927	0.569776	0.229655	0.80955
	casB	1.77999	1.71382	-0.0546541	0.94635	5.47398	3.34019	-0.71266	0.32245
	casC	2.29805	2.0027	-0.198461	0.754	6.93793	6.53601	-0.0860959	0.8677
	casD	3.92771	2.71416	-0.533186	0.4456	1.93265	2.62742	0.443064	0.73155
	casE	3.86442	3.80501	-0.0223516	0.97655	1.47191	1.99403	0.438	0.8143
	cbl	2.45495	2.43471	-0.0119454	0.9779	1.26739	0.91941	-0.463086	0.50385
	cbpA	18.7316	17.8058	-0.0731249	0.85875	68.6176	76.8196	0.162896	0.6982
	cbpM	40.035	41.8578	0.0642373	0.9283	73.721	69.1005	-0.0933796	0.9364
	cbrA	2.72286	1.91229	-0.509826	0.4425	0.208179	0.269597	0.37298	0.81605
	cbrB	12.8816	11.8762	-0.117234	0.79665	12.8989	7.03336	-0.87496	0.204
	cbrC	10.6609	9.92968	-0.102516	0.78775	9.4581	6.21481	-0.605841	0.23755
	cca	39.6258	42.5392	0.102355	0.76215	18.5723	21.2284	0.192841	0.64015
	ccmA	25.5419	30.3669	0.249639	0.58365	7.54352	8.82057	0.225633	0.69485
	ccmB	13.5293	15.7625	0.22041	0.7197	2.78691	2.82502	0.0195933	0.9842
	ccmC	14.2145	16.7247	0.234614	0.81515	8.49427	8.07603	-0.0728449	0.93965
	ccmD	42.6094	60.0916	0.495991	0.8345	74.621	72.2247	-0.047089	0.97225
	ccmE	17.3536	16.0444	-0.113169	0.93445	9.28195	13.2468	0.513141	0.6676
	ccmF	12.5524	13.449	0.0995385	0.87555	2.20236	2.78282	0.337496	0.7341
	ccmG	16.9037	19.7114	0.22169	0.84945	5.10956	5.3708	0.0719395	0.96205
	ccmH	22.4252	28.0585	0.323318	0.608	5.18848	6.5134	0.3281	0.7225
	cdaR	28.1405	22.7891	-0.3043	0.391	14.5861	13.4025	-0.122085	0.77945
	cdd	83.9838	87.7135	0.0626885	0.86295	135.686	133.279	-0.0258235	0.952
	cdh	20.8635	20.1229	-0.0521412	0.8837	26.1516	28.0361	0.100387	0.81625
	cdsA	190.302	172.948	-0.137958	0.81235	43.9612	35.8441	-0.294494	0.70645
	cedA	46.1275	35.5554	-0.375561	0.35615	42.3465	36.6713	-0.207594	0.69925
	cfa	33.2627	43.635	0.391581	0.26065	51.0674	56.6328	0.149236	0.71685
	chaA	13.3394	13.5765	0.0254183	0.9406	25.0167	22.0686	-0.180896	0.67155
	chaB	16.3871	11.3777	-0.52635	0.3353	100.975	112.359	0.154117	0.74645
	chaC	7.40281	7.22646	-0.0347841	0.92785	0.921241	0.734574	-0.326671	0.70225
	chbA	6.66025	7.07369	0.086887	0.85325	10.2715	16.583	0.691053	0.2081
	chbB	36.3284	36.2286	-0.00396764	0.9916	185.837	186.114	0.00214992	0.99595
